网络缓存值,优先使用SMB v1协议,启用音频的时间伸缩,跳帧,硬件加速,首选视频分辨率,启用回放增益,音频输出,yzq
2000,1,0,1,2,1,0,1,209.8475
500,1,1,1,0,1,1,0,202.8094
500,1,1,0,2,1,1,0,223.5455
500,0,1,0,0,0,0,1,169.7113
0,1,0,0,1,1,1,1,202.0533
500,0,1,1,1,2,0,0,198.0234
1000,1,0,0,1,1,0,0,215.2903
1000,0,1,0,1,2,1,1,213.8089
2000,1,0,1,2,0,1,0,215.6371
1000,1,0,1,2,2,1,1,225.8614
0,0,0,0,1,1,1,1,204.7285
1000,0,0,0,0,1,1,1,199.9485
500,1,0,0,1,0,1,1,198.3557
0,0,0,0,1,2,1,1,206.6071
500,0,1,1,1,1,1,1,210.2038
